id,ABANDONED,ABDUCTION,ABORTION,ABUSE,ACCIDENT,ACHE,ACUTE,ADDICT,AFRAID,AGITATION,AGONY,AIDS,ALCOHOLIC,ALONE,AMBULANCE,AMPUTATE,ANGER,ANGUISHED,ANNOY,ANTIBODY,ANXIOUS,APPREHENSION,ARGUE,ARMY,ARROGANT,ASHAMED,ASSASSIN,ASSAULT,ATTACK,AVALANCHE,AVERSION,AWFUL,AWKWARD,BACTERIA,BAD,BANKRUPT,BASTARD,BEAST,BEES,BETRAY,BILE,BITTER,BLACKMAIL,BLAME,BLEED,BLIND,BLOODY,BLUSHING,BODY,BOMB,BORING,BOTHER,BREAKDOWN,BROKEN,BRUISE,BRUTAL,BRUTALITY,BRUTALLY,BULLET,BULLY,BURDENED,BURIAL,BURN,CANCER,CARRIER,CASUALTY,CATASTROPHE,CHAOS,CHEAT,CHRONIC,CLASS,CLIFF,CLINIC,CLUMSY,COCKROACH,COFFIN,COLD,COLLISION,COMBAT,CONCUSSION,CONDEMN,CONFLICT,CONFUSED,CONTAGIOUS,CONTAMINATION,CONTEMPT,CONTRACTED,CONTRARY,CONTROLLING,CONVERSATION,CONVOY,CORPSE,COWARD,CRASH,CRAZY,CRIME,CRINGE,CRISIS,CRITICAL,CRITICIZED,CRUCIFY,CRUDE,CRUEL,CRUSHED,CRY,CUT,CYCLONE,DAGGER,DAMAGE,DANCE,DANGER,DATE,DEAD,DEATHBED,DEBT,DECAPITATE,DECEIT,DEFEATED,DEFECT,DEFIANT,DELAYED,DEMON,DENTIST,DESERTED,DESERTER,DESPAIRING,DESPERATE,DESPISE,DESTROY,DESTRUCTION,DETEST,DETONATE,DEVASTATED,DEVIL,DIAGNOSIS,DIRTY,DISABLED,DISAPPOINTED,DISASTER,DISCOMFORT,DISCOURAGED,DISDAINFUL,DISEASE,DISGRACED,DISGUSTED,DISLIKED,DISLOYAL,DISMAL,DISMEMBER,DISMISSED,DISORDER,DISPLEASED,DISPUTE,DISTRESSED,DISTURB,DIVORCE,DOCTOR,DOSE,DREAD,DREADFUL,DROWN,DRUG,DULL,DUMP,DYING,EMBARRASSED,EMBATTLED,EMERGENCY,ENEMY,ENRAGED,ERROR,EVACUATE,EVIL,EXCLUDE,EXECUTION,EXHAUSTED,EXILE,EXPLOSION,EXPOSURE,FAIL,FATAL,FATIGUE,FAULT,FEAR,FEVER,FIGHT,FILTH,FIRE,FLOOD,FOOL,FORLORN,FRAUD,FRIGHT,FRUSTRATED,FUTILE,GANGRENE,GARBAGE,GASH,GLOOM,GOSSIP,GRAVE,GRENADE,GRIEVING,GRIPE,GUILLOTINE,GUILTY,GUN,GUNFIRE,GUNMEN,HARASSMENT,HARM,HARSH,HATE,HATRED,HAZARD,HEADACHE,HELL,HELPLESS,HEROIN,HIDE,HIJACK,HIT,HIV,HOPELESS,HORRIBLE,HORROR,HOSPITAL,HOSTAGE,HOSTILE,HUMBLE,HUMILIATE,HUNGER,HUNGRY,HURRICANE,HURT,IGNORED,ILLNESS,IMPRESSION,INABILITY,INADEQUATE,INCAPABLE,INCURABLE,INFECTION,INFERIOR,INHIBITED,INJECTION,INJURY,INSANE,INSECURE,INSOLENT,INSULT,INSURGENT,INTERCOURSE,INTIMIDATED,INTRUDER,INVADER,IRRITATE,JAIL,JEALOUSY,JOKE,JUDGED,KIDNAP,KILL,KILLER,KNIFE,LAB,LACK,LEPROSY,LESBIAN,LETHAL,LICE,LIE,LIGHTNING,LOATHED,LONELY,LONESOME,LOSER,LOST,LUMP,MAD,MADMAN,MAGGOT,MALICE,MALTREATMENT,MANGLE,MANIAC,MANIPULATE,MARTYR,MASSACRE,MAYHEM,MEAN,MEASLES,MEDIC,MEDICINE,MENACE,MILITANT,MISERY,MISSILE,MISTAKE,MORBID,MOURN,MUGGING,MURDERER,MUTILATE,NAIVE,NASTY,NAUSEA,NEEDLE,NEGLECT,NERVOUS,NEUROTIC,NIGHTMARE,NURSE,OBSCENE,OBSESSION,OFFEND,OPERATION,OUTBREAK,OUTRAGE,OUTSIDER,OVERWHELMED,PAIN,PAINFUL,PANIC,PARALYZE,PARANOIA,PARTY,PATHETIC,PATIENT,PATROL,PECULIAR,PENALTY,PERIL,PERVERT,PEST,PILL,PISTOL,PITY,POISON,POLLUTE,POOR,POVERTY,POWERLESS,PREDATOR,PRESCRIPTION,PRESENTATION,PRESSURE,PRISON,PRISONER,PROCEDURE,PUNCTURE,PUNISHMENT,PUTRID,PYTHON,QUARREL,RABIES,RAGE,RANCID,RAPE,RAZOR,REGRETFUL,REJECTED,REPTILE,REPUTATION,REVOLT,REVOLVER,RIDICULE,RIFLE,RIOT,ROACH,ROBBER,ROUGH,RUDE,SAD,SAVAGES,SCALDING,SCANDAL,SCARED,SCORCHING,SCORN,SCORPION,SCREAM,SCRUTINY,SEASICK,SELFISH,SERUM,SEVERE,SEVERED,SEX,SHAME,SHARK,SHATTER,SHELL,SHIVER,SHOCK,SHOT,SHOTGUN,SHRAPNEL,SHRIEK,SHY,SICKLY,SICKNESS,SINFUL,SINISTER,SIREN,SISSY,SLAP,SLAUGHTER,SLAVE,SLIME,SLUGGISH,SMALLPOX,SMASH,SNAKE,SNIPER,SNOB,SORE,SORRY,SOUR,SPANKING,SPECIMEN,SPIDER,SPREADING,STAB,STARTLED,STARVING,STATUS,STITCHES,STORM,STRANGE,STRANGLE,STRESS,STRUGGLE,STUPID,SUFFER,SUFFOCATE,SUICIDE,SURGERY,SUSPICIOUS,SWEATS,SYMPTOM,SYNDROME,SYPHILIS,TAX,TEASE,TENSE,TERMITE,TERRIBLE,TERRIFIED,TERROR,TERRORIST,THIEF,THORN,THREAT,THREATENED,THROBBING,TOBACCO,TOMB,TOOTHACHE,TORMENTED,TORNADO,TORTURE,TOTALED,TOXIC,TRAGEDY,TRAGIC,TRAITOR,TRANSMITTED,TRAP,TRAPPED,TRAUMA,TREATMENT,TREMBLE,TRIGGER,TROUBLE,TUMOR,UGLY,ULCER,UNABLE,UNBEARABLE,UNFAITHFUL,UNHAPPY,UNPOPULAR,UNUSUAL,UPSET,USELESS,VAMPIRE,VANDAL,VENOM,VICIOUS,VICTIM,VIOLATE,VIOLENT,VIRUS,VOLCANO,VOMIT,VULNERABLE,WAR,WASP,WATCHED,WEAKNESS,WEAPON,WEIRD,WHORE,WICKED,WITHDRAWN,WORRIED,WORRY,WORST,WORTHLESS,WOUNDS,WRECK,WRONG
850,6,7,2,4,5,1,6,4,4,3,2,7,7,2,6,8,1,2,2,6,9,2,3,6,3,2,8,6,5,7,3,3,2,6,2,6,2,2,4,2,2,2,2,3,6,8,7,1,2,9,1,2,2,2,6,2,7,4,7,2,4,6,2,8,7,6,8,7,3,3,1,3,2,2,1,7,2,6,6,3,5,3,2,6,6,2,7,2,2,1,1,7,2,7,5,6,1,7,4,,7,3,3,8,4,4,7,7,8,3,3,3,9,7,2,9,2,2,2,6,1,1,1,7,3,1,2,2,6,8,3,8,6,3,3,2,8,2,8,2,3,4,8,2,1,2,3,2,8,2,3,2,2,4,2,2,4,4,2,3,8,6,1,2,9,2,2,9,6,2,4,7,2,3,8,2,7,9,3,3,9,2,4,3,6,4,1,7,3,2,2,4,5,2,6,7,1,4,3,1,7,7,3,3,9,3,7,7,8,6,3,3,5,3,4,2,1,2,8,1,8,2,8,2,7,3,6,8,4,1,3,2,2,7,8,4,1,1,2,1,3,9,7,3,2,2,6,5,2,4,2,7,1,3,6,2,2,6,2,2,1,8,9,7,6,2,1,6,1,7,1,2,7,3,3,2,2,3,3,4,7,1,2,6,8,3,2,8,8,4,4,8,2,3,3,6,6,8,2,6,6,7,9,7,1,3,1,3,3,7,4,6,2,3,3,3,4,9,3,4,3,5,3,8,2,6,1,2,2,1,2,3,3,7,2,2,7,,,3,1,2,6,7,2,2,6,,4,2,5,3,4,4,2,8,6,5,9,1,3,2,1,2,4,6,3,7,7,2,7,4,1,1,7,2,2,3,5,3,2,3,4,1,3,2,,9,1,2,6,3,1,2,3,7,8,7,3,1,7,4,2,6,2,1,2,2,8,1,1,8,3,3,7,2,2,4,2,1,2,2,3,4,2,2,1,1,6,1,7,7,2,2,4,8,9,8,2,2,3,6,6,1,3,6,1,3,6,2,8,7,1,3,6,3,7,7,4,3,9,9,6,2,6,3,4,6,1,7,7,3,3,3,3,8,3,4,2,4,2,1,2,1,3,3,2,2,2,2,6,3,5,6,8,1,5,8,1,1,3,8,1,4,3,3,2,3,2,3,4,2,2
851,7,9,7,7,8,6,2,8,6,7,6,9,9,1,5,8,6,6,6,6,1,4,1,1,8,6,7,8,8,7,6,1,6,9,4,9,7,8,2,8,1,1,7,8,7,1,8,4,1,9,1,4,7,7,6,8,9,9,7,7,7,1,8,9,1,8,6,7,6,5,1,5,1,5,3,1,2,8,3,5,6,7,2,8,8,6,2,5,1,1,1,2,5,8,1,7,3,8,6,,9,7,8,7,5,7,8,6,8,1,7,1,5,2,9,5,9,5,6,6,4,8,1,6,6,7,6,5,7,8,4,9,8,9,4,6,1,7,8,7,7,8,7,6,7,7,7,4,4,5,7,7,6,7,7,1,1,1,6,8,8,1,2,2,6,4,4,6,7,7,6,6,8,1,9,3,6,8,6,7,8,6,8,4,2,7,7,8,9,1,7,8,3,1,3,6,4,5,6,8,7,8,7,4,5,6,9,7,8,8,8,6,7,9,9,7,9,7,6,1,9,5,9,6,6,7,1,8,6,1,7,7,4,9,7,5,6,1,7,5,6,9,7,2,4,1,7,5,7,6,7,7,1,6,7,7,7,9,6,1,2,8,9,9,2,1,2,8,2,8,5,7,9,6,2,1,5,7,6,2,6,5,7,9,7,8,5,1,8,6,6,8,1,1,6,7,7,8,6,5,4,3,9,4,5,6,7,1,6,6,5,7,1,6,6,5,3,7,8,2,1,7,8,7,6,6,1,6,1,5,1,7,6,7,6,1,9,,,8,1,6,7,4,1,1,1,,5,3,7,6,5,9,7,8,7,5,9,7,3,7,2,1,7,8,1,7,6,7,8,6,8,6,5,9,5,6,8,6,9,6,6,8,5,1,,8,1,7,5,8,1,5,7,8,6,5,5,2,5,6,8,6,5,1,6,2,2,7,6,7,7,8,9,6,1,1,1,4,1,5,1,8,5,7,1,1,8,2,8,7,4,5,7,7,8,6,7,1,3,4,9,4,5,6,6,6,8,8,9,9,8,7,7,5,8,1,1,7,9,8,1,8,8,8,9,8,6,7,8,2,5,6,6,8,3,8,8,6,7,5,1,1,7,2,9,7,9,5,3,6,8,9,9,5,8,9,7,3,6,8,6,5,6,1,7,8,5,5,3,6,7
853,7,8,9,7,8,5,7,7,2,2,4,7,7,1,4,5,4,2,1,5,2,2,2,3,2,3,7,7,7,6,3,5,3,2,5,4,2,7,4,4,3,3,1,2,7,3,6,2,2,9,1,4,2,3,6,3,7,3,7,7,3,2,8,8,2,6,8,4,1,8,1,2,1,1,6,6,1,6,6,6,3,3,3,5,4,2,4,2,6,1,6,7,6,6,1,3,3,6,4,,6,3,6,5,3,4,4,7,3,1,6,3,7,8,8,4,3,3,6,2,3,7,1,2,3,3,6,3,3,4,3,4,3,9,5,4,3,2,6,6,2,3,4,3,4,3,3,2,7,1,4,1,6,2,2,6,2,5,3,2,7,8,2,2,7,1,5,7,6,6,3,3,2,3,8,2,4,6,6,3,9,1,2,3,3,7,3,7,6,1,4,2,2,3,3,6,1,6,3,4,4,8,3,3,5,4,6,7,8,6,3,3,6,2,7,3,6,2,6,2,5,3,8,4,2,7,6,6,7,3,2,4,4,8,4,1,4,1,3,4,2,2,6,2,4,5,3,3,4,2,3,3,2,1,6,2,4,3,2,1,2,7,7,8,6,2,3,4,1,7,7,5,5,1,1,3,1,2,6,3,3,1,5,6,2,4,2,7,7,5,6,6,1,2,4,3,3,6,4,7,2,6,7,3,1,2,5,7,5,1,8,6,2,2,2,2,3,6,6,1,1,6,7,3,6,3,1,3,4,4,5,6,5,7,2,7,7,,,3,3,3,2,3,2,4,5,,7,2,6,7,5,8,4,6,3,5,8,3,2,3,2,4,5,3,2,6,7,5,6,4,2,3,3,6,3,3,3,3,6,6,3,3,4,3,,7,4,3,6,3,1,3,6,7,7,7,2,1,6,6,7,3,2,1,6,8,5,1,2,8,4,5,8,2,3,2,1,3,3,4,5,8,2,7,1,4,5,1,4,6,4,1,6,6,7,4,4,2,2,4,5,4,2,6,4,2,5,7,6,6,4,6,3,3,6,3,5,7,6,7,4,6,7,7,7,3,4,3,6,3,6,6,4,9,6,6,2,3,3,3,1,2,2,2,5,6,6,7,7,7,7,6,6,5,2,9,2,1,3,6,1,5,4,3,4,4,2,2,3,2,3
854,5,9,9,9,6,1,1,8,1,2,1,9,8,1,2,7,1,1,1,1,6,1,3,1,1,1,9,9,8,8,1,2,1,3,1,3,1,7,4,6,6,1,4,6,7,1,7,1,1,9,1,1,1,6,1,1,1,6,9,1,2,5,8,9,3,6,8,9,6,1,1,6,1,1,9,4,1,7,7,6,2,1,1,8,9,1,1,1,4,1,1,2,1,8,1,6,2,6,1,,8,1,1,1,3,7,1,8,1,1,3,1,5,7,1,9,1,2,1,1,1,1,9,4,1,1,1,1,8,1,1,9,4,2,5,1,7,2,8,1,1,3,7,2,2,2,1,1,9,1,1,1,1,1,3,4,1,1,1,1,9,1,1,2,1,2,3,6,8,2,1,6,5,1,6,1,5,9,1,3,9,1,1,1,5,1,1,1,6,1,1,1,1,1,1,8,1,9,2,1,5,9,1,1,9,5,9,9,8,1,1,1,1,3,1,1,1,1,9,1,8,6,9,3,3,1,1,8,8,1,1,1,1,8,1,3,4,1,1,5,2,9,7,2,1,3,6,5,2,1,2,8,1,4,7,6,1,7,2,1,2,9,9,9,9,1,1,9,1,9,9,1,8,2,1,3,1,1,4,1,6,8,1,3,7,8,2,3,9,1,1,9,1,1,1,2,1,6,1,1,1,9,9,9,1,1,2,1,4,1,1,3,1,1,1,1,6,9,3,1,2,3,2,7,6,1,1,2,1,1,1,3,9,8,1,6,8,,,1,4,6,4,5,1,1,1,,2,2,8,4,1,1,1,8,4,4,9,4,1,2,1,1,5,7,1,7,1,3,9,1,1,1,7,6,1,3,8,1,3,1,7,1,1,1,,8,1,1,8,1,1,1,1,7,9,9,1,1,7,7,2,7,3,1,6,9,7,1,1,9,2,1,9,1,3,1,1,2,2,1,1,9,2,2,1,4,1,1,1,1,1,1,1,8,9,8,2,1,1,1,9,1,2,1,1,1,2,2,9,9,1,3,6,2,1,2,1,8,9,9,1,7,7,7,9,7,1,5,6,1,1,7,4,8,1,2,1,1,2,2,1,1,5,1,6,6,7,7,6,7,8,5,9,4,1,9,7,1,1,8,1,6,1,2,1,2,1,2,1,8,1
855,7,9,1,6,4,3,5,6,7,7,7,9,4,5,3,7,6,5,4,3,5,3,3,6,5,4,9,4,8,7,4,5,2,4,3,6,1,4,6,5,3,7,6,4,5,4,6,1,3,9,3,4,6,4,3,6,7,5,3,6,3,6,4,9,4,8,8,5,5,4,1,6,3,2,2,9,2,7,7,3,5,8,4,9,8,4,7,4,5,1,4,5,4,5,7,6,6,8,2,,7,5,7,3,4,7,9,7,4,1,8,2,5,8,5,9,3,6,3,4,2,8,1,4,6,3,6,4,8,7,5,9,8,8,4,4,7,2,9,6,2,5,6,5,8,2,4,4,7,5,4,5,7,6,4,6,3,3,7,6,6,5,4,3,7,3,3,8,7,6,4,5,6,2,9,5,7,9,7,4,6,4,4,3,3,4,3,9,8,2,5,7,5,6,4,8,3,5,3,2,9,9,5,2,9,4,9,9,9,7,4,3,6,7,5,4,7,6,8,3,9,5,8,6,6,8,2,9,8,4,5,4,3,8,6,6,6,4,3,2,4,7,5,2,6,6,3,6,4,7,4,3,2,3,8,9,4,5,5,1,7,9,9,7,9,4,5,6,1,6,8,4,7,7,2,4,4,6,7,5,9,4,5,5,6,8,4,5,9,4,6,7,2,3,7,4,6,7,5,5,6,9,9,7,4,3,3,5,4,3,3,8,1,6,5,5,5,8,7,3,3,5,7,4,8,6,1,4,2,2,4,3,6,7,5,3,9,,,4,3,5,6,7,2,1,6,,5,3,7,6,5,9,3,8,6,3,9,5,4,5,4,2,2,9,5,8,8,2,8,4,2,3,7,6,6,5,7,4,7,6,5,2,4,5,,7,2,3,8,4,3,6,3,9,9,4,5,3,6,3,6,9,4,4,4,9,7,4,3,8,3,8,9,1,5,4,3,7,5,6,6,7,2,6,5,2,6,4,9,4,4,3,7,8,5,4,4,3,5,8,8,3,3,3,2,5,7,6,9,5,3,7,9,3,4,6,2,8,8,8,7,6,5,5,7,8,8,9,6,2,7,9,8,8,6,4,2,6,2,4,1,4,5,4,1,7,8,7,6,6,9,8,8,4,3,8,7,2,4,9,2,2,5,5,4,4,6,1,5,5,4
856,6,8,8,7,7,3,5,6,5,4,6,8,7,2,7,8,5,6,4,3,6,4,5,5,4,2,8,7,7,8,5,4,3,6,4,4,4,6,8,6,6,4,7,4,7,4,7,1,2,8,3,5,4,5,5,7,6,8,8,6,7,7,6,7,2,8,7,6,4,5,2,7,3,5,6,5,3,7,6,7,7,5,4,7,6,5,6,4,6,2,4,7,4,6,5,6,4,7,5,,7,5,5,5,3,6,8,8,5,1,6,2,8,8,4,8,6,5,4,6,6,8,3,6,6,6,4,6,5,7,6,7,7,6,5,4,4,5,6,6,4,7,7,5,4,4,4,6,8,4,4,5,4,4,5,6,4,5,4,4,8,7,4,6,8,4,5,7,4,7,3,6,6,5,8,4,7,7,4,4,8,5,4,6,5,6,5,8,8,4,6,6,6,7,4,8,3,7,6,4,7,7,7,3,7,5,8,8,8,5,4,5,5,5,5,6,5,5,8,3,7,5,8,3,6,5,5,8,6,2,4,4,4,7,6,4,6,4,5,5,6,8,6,4,5,4,7,7,4,5,6,3,3,6,8,8,4,7,4,2,4,8,8,8,6,4,4,7,2,8,9,5,6,7,3,3,4,5,4,5,7,6,5,6,5,7,4,5,9,6,4,7,5,6,6,6,7,8,4,8,6,7,8,8,3,4,5,6,6,3,7,5,3,5,7,4,7,7,5,5,4,6,5,6,8,5,2,5,2,4,4,5,7,4,5,2,8,,,6,4,3,6,6,4,3,4,,7,4,7,6,7,7,6,7,6,7,8,7,5,5,3,4,5,7,5,7,8,7,7,6,4,4,6,7,7,4,7,4,8,4,7,5,3,6,,7,3,4,8,4,1,3,6,8,8,6,6,3,7,4,5,6,6,3,4,8,8,4,4,7,4,6,8,4,5,4,3,4,4,6,2,8,5,7,3,7,7,6,8,4,6,5,7,8,8,6,5,3,5,4,8,2,2,4,6,5,7,6,8,7,7,6,7,6,5,5,3,8,8,7,6,7,5,6,6,6,6,3,6,4,5,7,4,7,2,6,4,7,7,4,3,6,2,4,7,7,4,5,7,7,6,7,8,5,5,8,7,3,5,8,4,4,5,4,4,4,4,4,7,6,4
857,8,9,1,8,6,6,5,8,7,6,9,9,5,2,8,9,4,7,2,7,6,6,5,5,3,6,9,9,9,9,4,4,1,6,5,9,1,8,6,7,9,3,8,5,7,9,9,2,5,9,1,2,5,5,5,8,7,7,5,6,6,7,9,9,5,9,8,8,6,7,1,6,5,2,8,8,5,7,8,8,4,6,4,9,7,4,5,4,6,2,1,7,1,6,7,6,6,8,5,,9,1,8,6,6,8,9,5,6,1,7,1,9,9,8,9,6,5,4,2,5,6,9,2,3,9,8,4,6,7,2,9,8,5,6,5,9,3,7,7,4,2,9,4,5,2,2,5,9,2,6,2,5,6,3,6,5,5,8,5,9,5,1,5,9,6,6,7,6,3,6,6,5,1,9,3,5,9,5,5,9,2,1,8,6,7,7,9,8,5,5,9,9,2,5,9,1,7,5,4,8,9,6,4,9,5,5,9,9,6,7,5,2,4,6,8,5,9,8,2,9,7,9,7,5,7,8,9,6,1,6,5,5,9,9,4,7,2,7,6,8,9,9,5,2,7,8,9,6,5,4,6,1,9,9,7,4,9,5,1,6,9,9,9,5,5,6,9,1,9,9,6,7,4,2,2,2,7,6,3,8,8,7,6,5,5,7,8,9,7,6,9,4,5,5,8,9,9,5,4,6,9,9,7,4,3,7,8,5,6,2,6,5,1,5,2,9,8,3,4,6,9,9,8,9,2,1,5,1,1,1,6,7,7,6,5,5,,,8,9,9,8,9,5,5,6,,9,5,6,6,6,7,1,9,7,6,9,6,2,3,5,2,5,5,4,5,8,8,9,3,2,4,8,9,3,8,6,4,6,7,5,6,5,5,,9,1,6,7,6,1,2,6,5,5,9,6,1,6,7,1,6,6,1,6,9,9,2,1,9,6,7,9,2,6,1,5,8,2,6,5,9,6,7,5,9,6,1,9,6,6,1,9,9,9,9,6,5,6,6,9,6,4,6,7,5,7,9,9,8,6,7,7,7,6,7,7,7,9,9,6,8,7,7,6,5,7,9,8,7,6,5,6,9,5,7,8,7,6,6,1,1,6,6,5,6,7,8,8,6,8,8,7,8,7,9,7,6,7,5,1,2,2,1,6,6,2,6,7,6,5
858,7,7,5,7,6,6,3,7,7,6,8,8,7,6,6,7,8,6,5,4,7,6,7,7,7,3,7,8,8,7,6,6,4,7,7,6,4,4,8,7,4,2,7,6,6,7,7,3,3,8,4,5,6,5,6,7,6,8,8,7,6,5,7,9,4,7,7,7,6,4,3,7,6,2,6,7,5,6,7,7,6,7,6,7,7,5,7,3,6,2,2,5,6,7,6,8,4,8,6,,8,5,7,6,5,6,5,7,6,2,8,1,7,7,6,9,6,7,4,6,4,8,7,6,6,6,8,7,8,7,6,6,7,9,4,4,6,4,8,6,6,5,8,6,4,4,6,6,8,4,6,5,6,7,6,7,2,4,6,6,8,8,3,3,8,7,5,6,8,8,6,6,9,4,9,5,6,7,7,6,8,4,6,8,7,7,6,8,8,6,3,6,6,6,6,6,4,6,3,6,7,8,6,6,6,6,8,8,9,6,8,7,9,8,7,6,9,6,7,1,6,7,8,4,7,8,4,6,7,3,6,6,7,7,7,4,8,4,4,5,7,8,6,3,4,4,7,9,6,4,7,5,2,7,7,6,7,7,7,2,6,8,8,9,7,3,5,7,2,8,6,8,4,6,4,6,3,5,3,8,7,6,7,7,7,6,6,6,8,8,7,6,2,2,7,7,6,8,5,5,4,7,9,8,6,6,5,7,7,5,5,7,3,6,6,6,7,7,7,6,8,7,8,7,7,6,2,4,4,2,3,5,6,7,6,5,7,,,6,4,8,4,7,4,3,7,,7,7,7,7,5,6,7,7,9,5,9,6,7,6,3,4,6,7,2,7,7,6,7,4,6,3,6,5,6,6,6,5,6,6,5,4,7,3,,7,3,6,7,6,2,6,6,7,7,7,6,2,7,7,8,7,3,2,7,7,5,4,5,7,7,6,8,6,7,4,2,7,3,6,5,8,7,7,4,4,6,4,7,6,6,4,6,8,8,7,4,5,6,6,6,6,6,6,7,7,8,9,9,7,7,9,8,5,7,6,7,7,8,9,5,7,8,8,6,5,7,7,8,3,6,5,7,8,4,6,4,5,6,6,5,5,6,3,7,7,7,8,7,5,8,8,7,5,6,8,6,4,6,7,4,7,8,4,6,6,5,5,7,7,6
860,7,9,9,9,9,9,9,9,8,6,5,9,7,8,9,9,6,8,7,3,7,8,6,9,7,9,9,9,9,7,8,4,8,9,8,9,9,9,7,9,9,4,9,6,9,9,9,8,9,9,5,8,9,9,9,9,9,9,9,9,7,9,9,9,7,9,8,8,9,9,5,9,9,7,9,9,6,9,9,9,9,9,7,9,9,9,8,7,4,7,9,8,8,8,7,9,9,9,9,,9,5,7,8,8,9,8,9,8,1,9,4,9,9,9,9,7,8,7,8,7,9,7,9,9,8,4,8,8,9,7,9,9,9,9,9,9,4,9,6,7,9,9,9,9,7,6,9,8,8,9,9,9,9,8,9,8,7,9,9,9,9,6,8,9,5,9,9,9,8,8,7,9,7,9,5,9,9,7,7,7,5,7,7,8,9,7,9,9,7,7,8,9,6,9,9,9,9,3,9,9,9,7,8,8,5,9,9,9,9,9,8,8,6,9,9,9,7,5,8,9,9,9,7,9,7,8,9,7,1,8,6,6,9,6,8,9,1,8,7,8,9,9,9,7,9,9,6,9,9,9,8,7,8,9,9,7,9,9,5,9,9,9,9,9,6,7,9,4,9,6,7,9,9,4,4,4,8,8,7,9,6,9,9,9,9,9,8,9,9,3,9,6,9,9,9,6,9,6,9,8,9,9,9,8,9,8,8,6,9,9,9,8,9,8,8,9,8,8,7,6,9,7,9,9,9,2,4,9,8,7,9,9,9,9,7,9,,,9,5,5,7,9,8,6,8,,9,3,9,9,6,9,9,9,8,6,9,9,9,7,9,9,9,9,9,9,9,9,9,8,7,4,9,9,9,9,8,9,9,9,8,9,6,6,,9,9,3,6,7,4,7,9,9,9,9,9,6,9,9,9,7,9,6,9,9,9,8,8,9,8,9,9,9,8,5,2,8,7,7,7,9,7,7,3,9,9,4,9,9,9,9,1,9,9,9,7,9,9,9,9,9,3,8,9,9,9,9,9,9,9,9,9,8,6,9,9,9,9,9,9,9,8,9,9,9,9,8,9,3,9,8,9,9,3,9,7,7,8,7,3,9,4,5,9,9,9,9,9,8,9,9,9,9,1,9,7,1,9,9,7,9,9,7,6,8,5,7,9,8,6
861,6,9,3,8,7,6,5,6,6,4,8,7,5,6,3,9,7,7,4,2,6,5,6,6,4,4,7,8,7,8,4,5,6,7,5,8,2,5,6,7,5,5,8,6,7,6,7,2,5,7,2,1,7,6,6,7,6,7,9,6,4,7,7,9,7,9,8,7,3,6,3,8,3,5,9,7,3,7,6,7,5,6,4,6,8,7,7,2,7,2,4,9,4,8,4,6,4,6,6,,7,3,7,7,6,7,9,7,6,3,8,5,9,9,9,9,4,7,4,3,4,7,8,6,3,6,6,5,6,8,3,7,6,6,6,3,5,6,8,4,4,6,8,2,5,3,6,3,9,4,6,4,3,4,5,5,6,4,4,2,9,6,3,6,9,5,5,8,6,8,7,7,7,4,9,6,7,9,3,6,9,6,4,6,6,7,6,8,9,5,6,6,4,7,6,9,6,8,4,3,8,8,7,6,8,5,8,9,9,7,6,2,6,7,5,6,6,6,7,6,8,6,8,6,5,6,3,6,6,1,7,5,6,9,5,5,6,2,6,3,3,9,7,4,6,8,8,4,6,4,5,6,3,6,7,7,6,7,7,1,6,9,9,9,8,5,4,9,1,9,7,6,8,7,7,6,3,7,7,5,6,8,6,7,8,5,6,2,9,6,6,9,1,1,6,8,7,9,2,4,7,7,9,8,3,4,6,8,7,7,7,5,3,4,7,6,6,9,6,5,6,7,6,7,9,7,2,6,3,4,3,6,7,7,3,5,7,,,6,6,9,9,8,3,7,6,,6,5,6,6,6,7,6,8,8,8,9,7,4,6,6,3,5,8,5,7,7,8,7,4,3,5,5,7,6,5,8,7,9,6,6,6,6,6,,8,2,5,7,5,2,3,5,9,9,9,7,2,6,6,4,5,6,3,7,9,9,6,6,9,7,7,8,3,5,2,3,7,5,9,7,8,6,9,3,7,8,4,8,7,6,5,5,9,9,5,4,6,5,5,8,4,6,6,6,6,6,7,6,7,5,8,7,6,8,8,7,7,9,8,8,9,7,6,6,6,6,7,8,2,7,6,4,9,2,6,5,5,4,2,3,2,6,4,3,4,8,7,3,9,8,7,8,6,7,8,9,7,6,8,4,3,3,3,6,4,4,4,7,6,3
